ScientistID,FullName,Specialty,Department,Country,YearsOfExperience
1,Jason Miller,Oncology,Pharmacology,Christmas Island,11
2,Travis Carson,Cardiology,Pharmacology,Ghana,7
3,Aaron Brown,Oncology,Clinical Research,Northern Mariana Islands,20
4,Jennifer Bryant,Oncology,Clinical Research,Botswana,16
5,Anthony Cruz,Oncology,Pharmacology,Anguilla,5
6,Joy Torres,Cardiology,Pharmacology,Equatorial Guinea,19
7,Samantha Adams,Endocrinology,Pharmacology,Lebanon,20
8,Lisa Day,Cardiology,Clinical Research,Djibouti,23
9,Anthony Gallagher,Endocrinology,Molecular Biology,Christmas Island,10
10,Jerry Hoffman,Immunology,Clinical Research,Swaziland,11
11,Carl Nguyen,Oncology,Pharmacology,British Indian Ocean Territory (Chagos Archipelago),25
12,Denise Dominguez,Immunology,Molecular Biology,Nepal,11
13,Corey Chavez,Cardiology,Pharmacology,Austria,13
14,Lisa Gutierrez,Oncology,Pharmacology,Slovakia (Slovak Republic),15
15,Katie Snyder,Oncology,Molecular Biology,Iran,14
16,Kimberly Powell,Endocrinology,Molecular Biology,Senegal,4
17,Debra Walters,Immunology,Clinical Research,Gabon,6
18,Diana Garcia,Immunology,Pharmacology,Ukraine,20
19,Jason Finley,Neurology,Clinical Research,Rwanda,22
20,Ryan Baker,Neurology,Clinical Research,Sierra Leone,9
